name,image,height,width,boxes,relative_boxes,annotations,anno_type,relative_annotations,iou_score,max_iou_score,num_of_annotations,avg_score
00131.jpg,/Users/hila.katz/PycharmProjects/YOLOv8-image-detection-project/Kangaroos/00131.jpg,452,865,"[[506.6450500488281, 2.3749685287475586, 719.6004638671875, 391.0939636230469], [143.97645568847656, 224.30056762695312, 349.9513244628906, 385.8855285644531], [281.50079345703125, 131.00686645507812, 411.8232727050781, 363.01226806640625], [282.7850646972656, 133.1051483154297, 506.3018798828125, 364.7375183105469]]","[[0.5857168208656972, 0.005254355152096369, 0.8319080507135116, 0.8652521319093958], [0.16644676958205382, 0.49624019386494056, 0.4045680051594111, 0.8537290454965777], [0.3254344433029263, 0.28983820012185424, 0.4760962690232117, 0.8031244868725802], [0.3269191499390354, 0.2944804166270568, 0.5853200923500722, 0.8069414121914754]]","[['274', '137', '420', '388']]",<class 'list'>,"[[0.31676300578034683, 0.3030973451327434, 0.48554913294797686, 0.8584070796460177]]","[[0.5114787039866016, 0.7303525973646746, 0.9415970980047171, 0.8805740227069652]]",[0.9415970980047171],1,0.9415970980047171
00119.jpg,/Users/hila.katz/PycharmProjects/YOLOv8-image-detection-project/Kangaroos/00119.jpg,960,720,"[[573.5706176757812, 418.8232116699219, 692.6212158203125, 659.743408203125], [262.4981994628906, 70.2974853515625, 471.4995422363281, 697.7064208984375], [82.1678466796875, 315.7176818847656, 360.4208679199219, 702.6409301757812], [70.8703384399414, 315.8623352050781, 361.4620056152344, 894.3080444335938], [451.897705078125, 523.0210571289062, 671.7614135742188, 915.8745727539062], [274.8448181152344, 526.4622802734375, 407.5892333984375, 958.4448852539062], [0.6714248657226562, 496.7069091796875, 221.09400939941406, 921.6557006835938], [0.484222412109375, 348.544921875, 338.5889587402344, 923.0313720703125]]","[[0.7966258578830295, 0.4362741788228353, 0.9619739108615452, 0.6872327168782552], [0.3645808325873481, 0.07322654724121094, 0.6548604753282335, 0.7267775217692057], [0.11412200927734376, 0.3288725852966309, 0.5005845387776693, 0.7319176355997722], [0.09843102561102973, 0.32902326583862307, 0.5020305633544921, 0.9315708796183269], [0.6276357014973958, 0.544813601175944, 0.933001963297526, 0.9540360132853191], [0.3817289140489366, 0.548398208618164, 0.5660961574978298, 0.9983800888061524], [0.0009325345357259115, 0.5174030303955078, 0.3070750130547418, 0.9600580215454102], [0.0006725311279296875, 0.363067626953125, 0.47026244269476997, 0.9614910125732422]]","[['1', '311', '319', '703'], ['444', '517', '663', '884'], ['564', '417', '692', '654'], ['270', '508', '402', '957'], ['1', '484', '222', '888']]",<class 'list'>,"[[0.001388888888888889, 0.32395833333333335, 0.44305555555555554, 0.7322916666666667], [0.6166666666666667, 0.5385416666666667, 0.9208333333333333, 0.9208333333333333], [0.7833333333333333, 0.434375, 0.9611111111111111, 0.68125], [0.375, 0.5291666666666667, 0.5583333333333333, 0.996875], [0.001388888888888889, 0.5041666666666667, 0.30833333333333335, 0.925]]","[[0.3017947348715457, 0.5706953594377537, 0.8832297540458225, 0.7885567979987275, 0.33370946408379354, 0.5043824429689497, 0.6812683862127719, 0.820635613536483], [0.6557913277279832, 0.4564458143379664, 0.3916758227005233, 0.43271786747515245, 0.9552511882869997, 0.5877397354747463, 0.34923102293184266, 0.39703195386167056], [0.9818285137151558, 0.4320130614651712, 0.3549619739191803, 0.3175778308269536, 0.6527509535251953, 0.3856965197953013, 0.2221978221592488, 0.2892601035464049], [0.3814547708850565, 0.577693141099982, 0.5814634427920841, 0.6570383883242805, 0.5791115158658073, 0.9739796219176741, 0.5830621147624985, 0.6232592885819499], [0.22344089501228884, 0.4067620280249068, 0.6276447339724671, 0.7201148443661712, 0.3407636998354527, 0.5549082261723038, 0.965585737906844, 0.7905189360642026]]","[0.8832297540458225, 0.9552511882869997, 0.9818285137151558, 0.9739796219176741, 0.965585737906844]",5,0.9519749631744994
00051.jpg,/Users/hila.katz/PycharmProjects/YOLOv8-image-detection-project/Kangaroos/00051.jpg,376,550,"[[26.144454956054688, 89.95642852783203, 266.2749328613281, 341.42718505859375], [224.93661499023438, 40.82547378540039, 377.048095703125, 342.9111633300781], [21.659854888916016, 88.1669692993164, 267.7890319824219, 340.0560607910156]]","[[0.04753537264737216, 0.23924582055274476, 0.4841362415660511, 0.9080510240920047], [0.40897566361860793, 0.1085783877271287, 0.6855419921875, 0.9119977748140375], [0.039381554343483664, 0.23448662047690533, 0.48688914905894887, 0.9044044169973819]]","[['224', '38', '385', '348'], ['28', '87', '273', '346']]",<class 'list'>,"[[0.4072727272727273, 0.10106382978723404, 0.7, 0.925531914893617], [0.05090909090909091, 0.23138297872340424, 0.49636363636363634, 0.9202127659574468]]","[[0.607351689831099, 0.9761058984316328, 0.6064375371936116], [0.9775295015722774, 0.626744284897844, 0.9746347477684038]]","[0.9761058984316328, 0.9775295015722774]",2,0.9768177000019551
00045.jpg,/Users/hila.katz/PycharmProjects/YOLOv8-image-detection-project/Kangaroos/00045.jpg,480,640,"[[295.3238830566406, 178.3829345703125, 440.2926940917969, 414.6070556640625], [247.64903259277344, 162.11761474609375, 311.13671875, 302.35943603515625]]","[[0.461443567276001, 0.37163111368815105, 0.6879573345184327, 0.8637646993001302], [0.3869516134262085, 0.3377450307210286, 0.486151123046875, 0.6299154917399089]]","[['210', '148', '307', '395'], ['302', '180', '444', '422']]",<class 'list'>,"[[0.328125, 0.30833333333333335, 0.4796875, 0.8229166666666666], [0.471875, 0.375, 0.69375, 0.8791666666666667]]","[[0.7048723067326682, 0.8057115642812318], [0.9746414718762181, 0.6410870227818942]]","[0.8057115642812318, 0.9746414718762181]",2,0.8901765180787249
00079.jpg,/Users/hila.katz/PycharmProjects/YOLOv8-image-detection-project/Kangaroos/00079.jpg,600,900,"[[331.9013366699219, 72.10716247558594, 715.1655883789062, 463.66650390625], [332.3318176269531, 73.1319808959961, 714.1686401367188, 465.4607849121094]]","[[0.36877926296657987, 0.12017860412597656, 0.794628431532118, 0.7727775065104167], [0.369257575141059, 0.12188663482666015, 0.7935207112630208, 0.7757679748535157]]","[['170', '76', '711', '468']]",<class 'list'>,"[[0.18888888888888888, 0.12666666666666668, 0.79, 0.78]]","[[0.8781724804880754, 0.8808789873106523]]",[0.8808789873106523],1,0.8808789873106523
00092.jpg,/Users/hila.katz/PycharmProjects/YOLOv8-image-detection-project/Kangaroos/00092.jpg,320,450,"[[88.22351837158203, 76.47313690185547, 259.0850830078125, 297.4561462402344], [99.2536392211914, 264.19683837890625, 107.92925262451172, 281.88818359375]]","[[0.19605226304796006, 0.23897855281829833, 0.57574462890625, 0.9295504570007325], [0.22056364271375867, 0.825615119934082, 0.23984278361002603, 0.8809005737304687]]","[['74', '47', '263', '299']]",<class 'list'>,"[[0.16444444444444445, 0.146875, 0.5844444444444444, 0.934375]]","[[0.9189280607249154, 0.42376852191309305]]",[0.9189280607249154],1,0.9189280607249154
00086.jpg,/Users/hila.katz/PycharmProjects/YOLOv8-image-detection-project/Kangaroos/00086.jpg,523,960,"[[192.76698303222656, 291.5631408691406, 387.8302917480469, 489.2117614746094], [349.36944580078125, 189.4968719482422, 912.6963500976562, 462.7828674316406], [346.4344482421875, 189.2892303466797, 909.8170776367188, 462.3630065917969], [349.6573791503906, 190.91932678222656, 736.8682861328125, 463.05560302734375]]","[[0.20079894065856935, 0.5574821049123148, 0.4039898872375488, 0.9353953374275514], [0.36392650604248045, 0.36232671500619923, 0.9507253646850586, 0.8848620792191981], [0.3608692169189453, 0.3619296947355252, 0.9477261225382487, 0.8840592860263803], [0.3642264366149902, 0.3650465139239514, 0.7675711313883463, 0.8853835621937739]]","[['333', '189', '927', '466'], ['41', '291', '392', '489']]",<class 'list'>,"[[0.346875, 0.361376673040153, 0.965625, 0.8910133843212237], [0.042708333333333334, 0.5564053537284895, 0.4083333333333333, 0.9349904397705545]]","[[0.5174531581418276, 0.9757109720356186, 0.9754866171559852, 0.8616604439308319], [0.880139248509889, 0.4766002508724212, 0.4783269952579882, 0.5278854148858995]]","[0.9757109720356186, 0.880139248509889]",2,0.9279251102727538
00087.jpg,/Users/hila.katz/PycharmProjects/YOLOv8-image-detection-project/Kangaroos/00087.jpg,403,402,"[[0.0, 52.77872085571289, 142.3310089111328, 401.3292236328125], [173.35467529296875, 70.3484878540039, 401.3037414550781, 348.21697998046875]]","[[0.0, 0.13096456788018088, 0.3540572360973453, 0.9958541529350186], [0.43123053555464863, 0.17456200460050597, 0.9982680135698461, 0.8640619850631979]]","[['110', '51', '402', '349']]",<class 'list'>,"[[0.2736318407960199, 0.12655086848635236, 1.0, 0.8660049627791563]]","[[0.5130886948587468, 0.8816397957513764]]",[0.8816397957513764],1,0.8816397957513764
00093.jpg,/Users/hila.katz/PycharmProjects/YOLOv8-image-detection-project/Kangaroos/00093.jpg,534,950,"[[0.0, 312.542236328125, 547.989990234375, 510.8010559082031], [0.0, 3.4477922916412354, 844.763916015625, 510.7236022949219]]","[[0.0, 0.5852850867567884, 0.5768315686677632, 0.9565562844722905], [0.0, 0.006456539871987332, 0.8892251747532894, 0.9564112402526627]]","[['438', '1', '842', '382']]",<class 'list'>,"[[0.4610526315789474, 0.0018726591760299626, 0.8863157894736842, 0.7153558052434457]]","[[0.3771203638841845, 0.659984530616096]]",[0.659984530616096],1,0.659984530616096
00078.jpg,/Users/hila.katz/PycharmProjects/YOLOv8-image-detection-project/Kangaroos/00078.jpg,619,1023,"[[150.08448791503906, 138.52932739257812, 650.6027221679688, 448.6936340332031]]","[[0.14671015436465207, 0.223795359277186, 0.6359752904867729, 0.7248685525576787]]","[['143', '123', '959', '456']]",<class 'list'>,"[[0.13978494623655913, 0.1987075928917609, 0.9374389051808406, 0.7366720516962844]]",[[0.8085772111852741]],[0.8085772111852741],1,0.8085772111852741
00044.jpg,/Users/hila.katz/PycharmProjects/YOLOv8-image-detection-project/Kangaroos/00044.jpg,531,945,"[[485.49542236328125, 59.02286911010742, 711.8261108398438, 472.3079528808594], [486.73681640625, 59.66023635864258, 711.9290161132812, 472.4675598144531]]","[[0.5137517696965939, 0.1111541791150799, 0.7532551437458664, 0.889468837817061], [0.515065414186508, 0.11235449408407265, 0.7533640382151124, 0.8897694158464278]]","[['463', '48', '738', '468'], ['478', '300', '592', '414']]",<class 'list'>,"[[0.48994708994708996, 0.0903954802259887, 0.780952380952381, 0.8813559322033898], [0.5058201058201058, 0.5649717514124294, 0.6264550264550265, 0.7796610169491526]]","[[0.9448692612041151, 0.943163620483099], [0.6105118524815212, 0.6102489142672617]]","[0.9448692612041151, 0.6105118524815212]",2,0.7776905568428181
00050.jpg,/Users/hila.katz/PycharmProjects/YOLOv8-image-detection-project/Kangaroos/00050.jpg,600,900,"[[123.40779113769531, 217.74656677246094, 588.13330078125, 566.4732055664062], [503.64459228515625, 85.22795104980469, 528.8168334960938, 149.22177124023438], [500.64532470703125, 60.424922943115234, 564.0989379882812, 86.34424591064453], [540.211669921875, 81.97250366210938, 556.9977416992188, 145.7973175048828], [749.2194213867188, 67.19026947021484, 776.37451171875, 140.1387176513672], [534.1365356445312, 82.715576171875, 558.188720703125, 146.82115173339844], [817.2609252929688, 57.64387893676758, 848.9241943359375, 122.98394775390625], [798.6109619140625, 61.02406311035156, 818.1968383789062, 128.43093872070312], [646.50341796875, 28.984153747558594, 674.5093994140625, 62.398468017578125], [800.3436889648438, 59.80104064941406, 826.0702514648438, 133.8611602783203]]","[[0.13711976793077257, 0.3629109446207682, 0.6534814453125, 0.9441220092773438], [0.5596051025390625, 0.14204658508300783, 0.5875742594401042, 0.24870295206705728], [0.5562725830078125, 0.10070820490519206, 0.6267765977647569, 0.14390707651774087], [0.6002351888020834, 0.13662083943684897, 0.6188863796657986, 0.2429955291748047], [0.8324660237630208, 0.11198378245035807, 0.8626383463541667, 0.23356452941894532], [0.5934850396050347, 0.13785929361979166, 0.6202096896701389, 0.24470191955566406], [0.9080676947699653, 0.09607313156127929, 0.9432491048177083, 0.20497324625651042], [0.8873455132378473, 0.10170677185058594, 0.9091075981987847, 0.21405156453450522], [0.7183371310763889, 0.04830692291259766, 0.7494548882378472, 0.10399744669596354], [0.8892707655164931, 0.09966840108235676, 0.9178558349609375, 0.22310193379720053]]","[['129', '222', '609', '574'], ['488', '415', '553', '495']]",<class 'list'>,"[[0.14333333333333334, 0.37, 0.6766666666666666, 0.9566666666666667], [0.5422222222222223, 0.6916666666666667, 0.6144444444444445, 0.825]]","[[0.9689160396212406, 0.3386598108685878, 0.30445418534945407, 0.33298546884297064, 0.2549661236219339, 0.33620349208315614, 0.21835671554889502, 0.22947947137773383, 0.24961205252619298, 0.2303038986402467], [0.5068154217625862, 0.3216623419353765, 0.2582020996041546, 0.3136022002817511, 0.2176600776406803, 0.31596668545906553, 0.1812476861320158, 0.19261793267698557, 0.19102790312805035, 0.19411338473262038]]","[0.9689160396212406, 0.5068154217625862]",2,0.7378657306919134
00118.jpg,/Users/hila.katz/PycharmProjects/YOLOv8-image-detection-project/Kangaroos/00118.jpg,354,531,"[[166.98153686523438, 63.07051467895508, 359.9158935546875, 327.962646484375]]","[[0.3144661711209687, 0.17816529570326292, 0.6778077091425376, 0.9264481539106638]]","[['138', '63', '360', '324'], ['11', '45', '189', '326']]",<class 'list'>,"[[0.2598870056497175, 0.17796610169491525, 0.6779661016949152, 0.9152542372881356], [0.02071563088512241, 0.1271186440677966, 0.3559322033898305, 0.9209039548022598]]","[[0.9553718138351355], [0.6124328298681729]]","[0.9553718138351355, 0.6124328298681729]",2,0.7839023218516542
00130.jpg,/Users/hila.katz/PycharmProjects/YOLOv8-image-detection-project/Kangaroos/00130.jpg,319,450,"[[53.24656677246094, 78.98627471923828, 142.2302703857422, 165.46360778808594]]","[[0.11832570393880208, 0.24760587686281593, 0.31606726752387154, 0.5186946952604575]]","[['52', '84', '175', '195']]",<class 'list'>,"[[0.11555555555555555, 0.26332288401253917, 0.3888888888888889, 0.6112852664576802]]",[[0.866519536863983]],[0.866519536863983],1,0.866519536863983
00124.jpg,/Users/hila.katz/PycharmProjects/YOLOv8-image-detection-project/Kangaroos/00124.jpg,360,640,"[[34.85107421875, 175.23846435546875, 434.491943359375, 339.29498291015625], [275.68524169921875, 7.5005035400390625, 510.49481201171875, 327.3604736328125]]","[[0.054454803466796875, 0.4867735120985243, 0.6788936614990234, 0.942486063639323], [0.4307581901550293, 0.020834732055664062, 0.7976481437683105, 0.9093346489800347]]","[['29', '165', '423', '340']]",<class 'list'>,"[[0.0453125, 0.4583333333333333, 0.6609375, 0.9444444444444444]]","[[0.9635124682280104, 0.5582673615526909]]",[0.9635124682280104],1,0.9635124682280104
00108.jpg,/Users/hila.katz/PycharmProjects/YOLOv8-image-detection-project/Kangaroos/00108.jpg,301,500,"[[380.7291259765625, 107.7511215209961, 482.151611328125, 248.91162109375], [306.3734436035156, 89.06996154785156, 362.4439697265625, 225.90785217285156], [134.95272827148438, 94.5863265991211, 276.9727783203125, 256.00067138671875], [307.1113586425781, 88.95912170410156, 362.299072265625, 227.85110473632812]]","[[0.761458251953125, 0.357977147910286, 0.96430322265625, 0.826948907288206], [0.6127468872070313, 0.295913493514457, 0.724887939453125, 0.7505244258234272], [0.26990545654296877, 0.31424028770472123, 0.553945556640625, 0.8505005693910922], [0.6142227172851562, 0.2955452548309022, 0.72459814453125, 0.7569804144064057]]","[['95', '93', '284', '258'], ['295', '91', '365', '229'], ['380', '107', '488', '254'], ['7', '19', '174', '295']]",<class 'list'>,"[[0.19, 0.3089700996677741, 0.568, 0.8571428571428571], [0.59, 0.3023255813953488, 0.73, 0.760797342192691], [0.76, 0.3554817275747508, 0.976, 0.8438538205980066], [0.014, 0.06312292358803986, 0.348, 0.9800664451827242]]","[[0.43629882780715784, 0.5800384837003827, 0.9246444146328561, 0.5814962195002792], [0.6560825138616206, 0.9645538637412626, 0.622257830561585, 0.96708539249329], [0.9762881321125106, 0.6466675256890466, 0.454356043958661, 0.6497191373044653], [0.24883888291034537, 0.3443992984428352, 0.5763642735372646, 0.3450817527291166]]","[0.9246444146328561, 0.96708539249329, 0.9762881321125106, 0.5763642735372646]",4,0.8610955531939803
00120.jpg,/Users/hila.katz/PycharmProjects/YOLOv8-image-detection-project/Kangaroos/00120.jpg,540,720,"[[214.20236206054688, 72.81278228759766, 631.7234497070312, 446.08935546875]]","[[0.2975032806396484, 0.13483848571777343, 0.8773936801486545, 0.8260913990162037]]","[['207', '80', '644', '453']]",<class 'list'>,"[[0.2875, 0.14814814814814814, 0.8944444444444445, 0.8388888888888889]]",[[0.9682289010808944]],[0.9682289010808944],1,0.9682289010808944
